鬼子来了,9.2,中国,战争,https://movie.douban.com/subject/1291858/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg
孙立人三部曲,9.1,中国,战争,https://movie.douban.com/subject/2995929/,https://img3.doubanio.com/view/subject/l/public/s2982884.jpg
鬼子来了,9.2,大陆,战争,https://movie.douban.com/subject/1291858/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg
辛德勒的名单,9.4,美国,战争,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
乱世佳人,9.2,美国,战争,https://movie.douban.com/subject/1300267/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
你逃我也逃,9.2,美国,战争,https://movie.douban.com/subject/1303418/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1339915772.jpg
蓝与灰,9.1,美国,战争,https://movie.douban.com/subject/1300008/,https://img3.doubanio.com/view/subject/l/public/s2609825.jpg
将军号,9.0,美国,战争,https://movie.douban.com/subject/1292778/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248676081.jpg
孙立人三部曲,9.1,台湾,战争,https://movie.douban.com/subject/2995929/,https://img3.doubanio.com/view/subject/l/public/s2982884.jpg
卡里古拉,9.2,日本,战争,https://movie.douban.com/subject/26843144/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2369252025.jpg
人间的条件(第五、六部),9.1,日本,战争,https://movie.douban.com/subject/1441039/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327866185.jpg
机动战士高达：逆袭的夏亚,9.0,日本,战争,https://movie.douban.com/subject/1401536/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p546980785.jpg
从纳粹手中救出的孩子们,9.6,英国,战争,https://movie.douban.com/subject/26715377/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2323957637.jpg
怒海英雄：回报,9.2,英国,战争,https://movie.douban.com/subject/1889703/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2278610124.jpg
怒海英雄：叛乱,9.1,英国,战争,https://movie.douban.com/subject/1889700/,https://img1.doubanio.com/view/subject/l/public/s1832238.jpg
钢琴家,9.0,英国,战争,https://movie.douban.com/subject/1296736/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg
怒海英雄：火攻船,9.0,英国,战争,https://movie.douban.com/subject/1889694/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2278610371.jpg
怒海英雄：忠诚,9.0,英国,战争,https://movie.douban.com/subject/1889706/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2325137626.jpg
